tweet,category
الفتره اسوء فتره كلشي فيني مشتت نفسيتي مو بخير تماما,Diminished ability to think or concentrate
يكفي انه مشتت للذهن وفيه ينشر افكاره المسمومه,Diminished ability to think or concentrate
مشتت وتايه محتاج فرمتت ودفعه معنويه,Diminished ability to think or concentrate
تاءهه مشتته محتاره,Diminished ability to think or concentrate
ماشاء الله انا احس اني مشتته,Diminished ability to think or concentrate
احس مشتته وضايعه مستقبلي,Diminished ability to think or concentrate
احس انني مشتته وضايعه,Diminished ability to think or concentrate
احس اني ضايعه مشتته,Diminished ability to think or concentrate
احس اني مشتته ,Diminished ability to think or concentrate
احس اني مشتته احتاج احد يجمع شتاتي,Diminished ability to think or concentrate
احس اني مشتته اهل ماما يبغوني عندهم واهل بابا يبغوني كمان وانا ابغا صحباتي وهم مايبغوني ايحزن,Diminished ability to think or concentrate
احس اني مشتته يارب ساعدني,Diminished ability to think or concentrate
احس اني مكسوره و مشتته وفاته مو عارفه الملم نفسي و اقدر اداوم,Diminished ability to think or concentrate
احس اوقات بالضياع مو قادره اركز ع شيء احس بعجز تجاه نفسي,Diminished ability to think or concentrate
احس عقلي مشتت,Diminished ability to think or concentrate
احس مخي مشتت احتاج مساج,Diminished ability to think or concentrate
احس مخي مشتت ومقربع يبيله نفض وترتيب,Diminished ability to think or concentrate
احس مو قادره اركز,Diminished ability to think or concentrate
احساس انك مشتت كريه,Diminished ability to think or concentrate
احسني بحاله صدمه مو قادره اركز بالبث حتي,Diminished ability to think or concentrate
احسني مشتت,Diminished ability to think or concentrate
احسني مشتته بشكل بشع,Diminished ability to think or concentrate
احسني مشتته زي حساباتي,Diminished ability to think or concentrate
ادركت اخيرا انني مشتت الابد ولم تعد تليق اي بدايه او نهايه عندي جناح يرف انتبه انني ميت,Diminished ability to think or concentrate
اسمعو وربي مو قادره اركز اي احد الشي شاغل تفكيري,Diminished ability to think or concentrate
اسوء جزء ف الزعل انك متبقاش لاقي حد مكان تروحله واقف ف النص مشتت مش مرتاح ف اي حاجه اي حد,Diminished ability to think or concentrate
اسوء شعور تحس انك غريب غريب وسط اهلك وسط صحابك غريب حتي نفسك وقدام نفسك غريب حرفيا وزود ع الاوردر مشتت ومصدع وبتميل لانك تكون انطواءي,Diminished ability to think or concentrate
اسوء شعور تنصدم شخص قريب منك لدرجه انك تكون مشتت حاجه ومو قادر تجمع نفسك ,Diminished ability to think or concentrate
اسوا المراحل اللي البنت ممكن توصلها فتره بتكون شخص تاني مشتت المشاعر جواها بتبقي عشواءيه نوبه الحزن والبءس والاكتءاب الحاد,Diminished ability to think or concentrate
اسوا حاله وصلتلها عدم وجود مزيكا توصف حالي و تشاركني احساسي تايه وغريب مشتت,Diminished ability to think or concentrate
اسوا شعور يكون شي مشتت بالك ماتعرف وشو,Diminished ability to think or concentrate
اشعر بحزن مشتت,Diminished ability to think or concentrate
اشياء كثيره تغيرت مادري انا صح او احس ضايعه مشتته شخصيتي تغيرت او بدت تتغير او انا نفس الشخص ماعرف حاله غريبه جالسه امر,Diminished ability to think or concentrate
اصبحت اجهل مشتت ساسلك لهذا الجواب ام اظل متردد بينه وبين الخيار الاخر,Diminished ability to think or concentrate
اصبحت اجهل نفسي لدرجه اريد ان اسالها انتيانا انتي بقلب منكسر وتفكير مشتت وضياع روحي مخيفربما الجواب صحيح,Diminished ability to think or concentrate
اصبحت فتاه مشتته الذهن حياه ممله اشعر بارهاق شديد وكانني عالقه بداءره حاولت الخروج,Diminished ability to think or concentrate
اعتقد انني تاءه الليله انني مشتته فعلا,Diminished ability to think or concentrate
اف مو قادره اركز,Diminished ability to think or concentrate
اففف مو قادره اركز ,Diminished ability to think or concentrate
افففف مخي مشتت مره ماحبب,Diminished ability to think or concentrate
افكار مشتته صدر يضيق امل مفقود وضياع داءم سيفهم وجعك,Diminished ability to think or concentrate
افكاري مشتته احساس غريب مو قادرة افهم شيء,Diminished ability to think or concentrate
اقسم بالله مشتته مكان,Diminished ability to think or concentrate
اكتر فتره احس اني مشتته ,Diminished ability to think or concentrate
اكتر فتره الواحد مشتت بطريقه غريبه جدا والدماغ بتفكر مليون حاجه,Diminished ability to think or concentrate
اكتر واحده مشتته ف العاالم,Diminished ability to think or concentrate
اكره اصير مشتته لان تصير اشياء غلط اتشتت,Diminished ability to think or concentrate
اكره اكون مشتته كدا,Diminished ability to think or concentrate
اكره ان واضح علي اني مشتته امزح تعبت ابكي اخخ,Diminished ability to think or concentrate
اكره اني اكون مشتته,Diminished ability to think or concentrate
الصدق اني مشتت,Diminished ability to think or concentrate
الواحد مشتت الايام دي لابعد الحدود,Diminished ability to think or concentrate
الواحد مشتت تشتيت يتشتته قبل كده,Diminished ability to think or concentrate
الواحد مشتت مش عارف يبى ايه,Diminished ability to think or concentrate
انا الشعور وبين زيف اللاشعور مشتت الحضور ورغبتي بالانعزال ,Diminished ability to think or concentrate
انا الشعور وبين زيف المشاعر مشتته,Diminished ability to think or concentrate
انا انا اصبحت شخص غريب مليء بالخيبات مشتت ومتعب حاءر وتاءه يشعر بالضياع يعد يملك اي شي حتي الامل فقده,Diminished ability to think or concentrate
انا انغلبت وانخذلت,Diminished ability to think or concentrate
انا اول مره ابقي مشتته كدا حقيقي,Diminished ability to think or concentrate
فانه مشتت تاءه يبحث يلملمه يحتضنه بعيدا سوء العالم,Diminished ability to think or concentrate
انا تاءهه مشتته غريبه اجد الطريق الصحيح,Diminished ability to think or concentrate
لااعلم اريد انا حقا مشتته,Diminished ability to think or concentrate
لاحظت اتكلم اغلب كلامي و وهذا يثبت ايش انا مخلوق مشتت ومتناقض,Diminished ability to think or concentrate
لازلت تاءه مشتت افتقد لشيء اعلم ماهو حاءر زالت هويتي ضبابيه و جاهل مكاني فالمجتمع فضفضه,Diminished ability to think or concentrate
لكنني مشتت كقطره حبر سكبت بحر و تلاشت,Diminished ability to think or concentrate
للاسف الفتره مو فاهمه حتي نفسي ايش تبغي مشتته لدرجه مو قادره اركز بحياتي وقراراتي مو عارفه ايش الصح وايش الغلط,Diminished ability to think or concentrate
للاسف اللي يشوفوني يتوقع سعيده وناجحه وحياتي ورديه العكس داخليا مخنوقه ظلام ملخبطه مشتته,Diminished ability to think or concentrate
ليالي طويله و تفكير مشتت,Diminished ability to think or concentrate
ليتنا نقدر نتخطي شعور نبي نحسه,Diminished ability to think or concentrate
ليش احس اني مره مشتته وضايعه,Diminished ability to think or concentrate
ماش الفتره احسني مشتته وكل شيء بحياتي مقلوب ومهما عدلته لسا فوضي,Diminished ability to think or concentrate
مانمت ٤ الفجر واحس مو قادره اركز ابغي انام,Diminished ability to think or concentrate
متعب جدا انك توصف حاجه بانها عادي وانت ما تنام بسببها وانت مشتت وتايه طول يومك بسببها,Diminished ability to think or concentrate
متي تدري انك مشتت فكريا تفتح الحاسبه عشان تحط منبه ,Diminished ability to think or concentrate
مخي مشتت بالافكار ودي اتعمق بتجارب كثيره شيء وقته,Diminished ability to think or concentrate
مخي مشتت مره لازم افعل شيء,Diminished ability to think or concentrate
مخي مشتت مو قادره اركز بشي احس اني مزعوجه ,Diminished ability to think or concentrate
مدري مدري افكاري مشتته ادري ايش اسوي شي علي بعضه ادري,Diminished ability to think or concentrate
مر سنه يمكن وانا احس اني مو الشخص اللي قبل انزرعت فيني مخاوف وصرت مشتت ومو عارف اطلع الفوضي اللي احسه,Diminished ability to think or concentrate
مرات قليله اعجز وصف اشعر اما للانغماس الكلي او البعد الكامل عنه حلقي جاف وعقلي مشتت ومضطرب,Diminished ability to think or concentrate
مرحبا نجوم السماء انا ياءسه و مشتته جدا خذيني بجانبك فالارض تناسبني,Diminished ability to think or concentrate
مرحله انت تعيش يومك طبيعي زي يوم عقلك مشتت و توهان منت عايش اللحظه وتحس انك زعلان جوه و الشعور صعب جدا علي اي انسان,Diminished ability to think or concentrate
مرحله انو نفسي اعرف شنو اريد اعرف شنو بالي هيج مشتته الافكار تكلم نفسك شنو تريد الجواب اعرف تجيكم هيج حالات شي خاص بيه,Diminished ability to think or concentrate
مره مشتته ومو عارفه ايش اسوي ومو قادره اوقف تفكير,Diminished ability to think or concentrate
مزاج سيء ذهن مشتت افكار سلبيه ضياع,Diminished ability to think or concentrate
مساء الخير فاقد الشغف منعدم الامل مشتت الفكر مذبذب الثقه متردد ي اللي قاعد مش طايق نفسك دلوقتي ,Diminished ability to think or concentrate
مسافر تائهه الزحام مشتت التفكير اعرف اي انا ولاين وجهتي لازال الامل بداخلي للقياك,Diminished ability to think or concentrate
مستلق انتظر الموته الصغري تخطفني واقعي اليها الي عالم الاحلام والخيالات والفضاء الاسود تمنيت غلبني النعاس فالجسد منهك والعقل مشتت والنفس تاءهه,Diminished ability to think or concentrate
مشاعر مشتته,Diminished ability to think or concentrate
مشاعر مشتته فوضي,Diminished ability to think or concentrate
مشاعري مشتته مره مره,Diminished ability to think or concentrate
مشتاقه لنفسيتي اللي كانت مو مرهقه ولقلبي اللي كان بخير ولتفكيري الي مو مشتت وضايع ولشعور الامان والطمانينه مشتاقه بالمره,Diminished ability to think or concentrate
مشتت استطيع استيعاب اي شيء,Diminished ability to think or concentrate
مشتت اشياء كثيره اعلم عنها شء,Diminished ability to think or concentrate
مشتت التفكير,Diminished ability to think or concentrate
مشتت الحضور ورغبتي بالانعزال,Diminished ability to think or concentrate
مشتت الذهن,Diminished ability to think or concentrate
مشتت الفكر,Diminished ability to think or concentrate
مشتت انا عقل ناضج و قلب طفل,Diminished ability to think or concentrate
مشتت انتباهي و غالبني,Diminished ability to think or concentrate
مشتت بشكل مرعب,Diminished ability to think or concentrate
مشتت بشكل مرعب كاني رماد,Diminished ability to think or concentrate
مشتت تفكيري الرحيل او البقاء,Diminished ability to think or concentrate
مشتت حقا ارغب بالكلام كثيرا لانه صار مبتذلا وسخيفا ومملا ايضا لكنه حقيقي اكثر اي شيء,Diminished ability to think or concentrate
مشتت ذهنيا مرهق جسديا,Diminished ability to think or concentrate
مشتت ربنا هب امرنا رشدا,Diminished ability to think or concentrate
مشتت شتات عظيم جدا اشتت شتات,Diminished ability to think or concentrate
مشتت شعوري عفت و اشتقت,Diminished ability to think or concentrate
مشتت شعوري مابين عفت و اشتقت,Diminished ability to think or concentrate
مشتت شوي,Diminished ability to think or concentrate
مشتت شويه وبحاول اتوازن بفنجان القهوه اللذيذ,Diminished ability to think or concentrate
مشتت ضاءع وحاءر الكلمات اللتي تصفني,Diminished ability to think or concentrate
مشتت فكري لابعد مايمكن,Diminished ability to think or concentrate
مشتت ك بلدي اليمن شتته الحروب,Diminished ability to think or concentrate
مشتت كطالب يختار تخصصه,Diminished ability to think or concentrate
مشتت لاني استطيع التركيز لانني اركز الاشياء كلها الوقت ذاته,Diminished ability to think or concentrate
مشتت لدرجه الربكه تسمحلي اغير اسمك حياتي,Diminished ability to think or concentrate
مشتت مابين عفت و اشتقت,Diminished ability to think or concentrate
مشتت محطم متالم اتاكل الداخل,Diminished ability to think or concentrate
مشتت ن ذهني كني عالم اثار الديناصور والعنقا وبقيا غول,Diminished ability to think or concentrate
مشتت و حارت افكاري,Diminished ability to think or concentrate
مشتت وضااااايع,Diminished ability to think or concentrate
مشتت يريد ان يخرج بداخله ولكنه يستطيع,Diminished ability to think or concentrate
مشتته ,Diminished ability to think or concentrate
مشتته التفكير ك وطني ,Diminished ability to think or concentrate
مشتته الحضور و رغبتي ب الانعزال,Diminished ability to think or concentrate
مشتته انا عقل ناضجه و قلب طفله,Diminished ability to think or concentrate
مشتته انا وش بالنسبه,Diminished ability to think or concentrate
مشتته بشكل فضييييع,Diminished ability to think or concentrate
مشتته بشكل مرعب كاني رماد كف الريح,Diminished ability to think or concentrate
مشتته جدا و مش عارفه اخد قرار حاسه دايما اني بظلم اللي حواليا بدون قصد بسبب التردد الرهيب ده,Diminished ability to think or concentrate
مشتته جميع النواحي,Diminished ability to think or concentrate
مشتته حتي الكتاب غيرته مرتين وفتحت الايباد اتفرج وصكيت وش اسوي ,Diminished ability to think or concentrate
مشتته حيييل,Diminished ability to think or concentrate
مشتته كليا,Diminished ability to think or concentrate
مشتته لدرجه احس اني فقدت نفسي,Diminished ability to think or concentrate
مشتته و مشاعر مالها داعي,Diminished ability to think or concentrate
مشتته وتاءه,Diminished ability to think or concentrate
مشتته وجددددا,Diminished ability to think or concentrate
مشتته ومتردده وااااه الوجع,Diminished ability to think or concentrate
معرف احس اني مشتته كثيييييير,Diminished ability to think or concentrate
مقفله غرفتي ابكي وعقلي مشتت وقاعده اعيش هلع مدري قلق,Diminished ability to think or concentrate
مكتئب مشتت حزين يائس بائس ضائع هارب منعزل تائه وحيد خائف منهك متعب مختنق,Diminished ability to think or concentrate
مو طبيعي جاني نوم الحين واحس دايخه مو قادره اركز,Diminished ability to think or concentrate
مو عارفه شسوي تعرفون ضايعه مشتته مدري ويني شيء قاعد يضغط علي,Diminished ability to think or concentrate
مو قادره اركز المدرسات افهم حتي اهو بعقلي وبتفكيري مو قادره,Diminished ability to think or concentrate
مو قادره اركز بروح اكل برتقال ,Diminished ability to think or concentrate
مو قادره اركز بشي اليوم حرفيا,Diminished ability to think or concentrate
مو قادره اركز بشي مدري ابكي اموت,Diminished ability to think or concentrate
مو قادره اركز حولي التفكير,Diminished ability to think or concentrate
مو قادره اركز حياتي,Diminished ability to think or concentrate
مو قادره اركز علي احد,Diminished ability to think or concentrate
مو قادره اركز علي الاجتماع,Diminished ability to think or concentrate
مو قادره اركز علي شي,Diminished ability to think or concentrate
مو قادره اركز علي كلامه ,Diminished ability to think or concentrate
مو قادره اركز عندنا كثير اشياء,Diminished ability to think or concentrate
مو قادره اركز كثر التعب ,Diminished ability to think or concentrate
مو قادره اركز ,Diminished ability to think or concentrate
مو قادره اركز كثير الاحداث بحياتي الفتره,Diminished ability to think or concentrate
مو قادره اركز كويس,Diminished ability to think or concentrate
مو قادره اركز لحظه,Diminished ability to think or concentrate
مو قادره اركز,Diminished ability to think or concentrate
مو قاعده احس بشي اني مشتته وجدا,Diminished ability to think or concentrate
موضوع مشتت تفكيري وحياتي ونفسيتي مره مره اتمني يصير باقرب وقت وارتاح,Diminished ability to think or concentrate
موطبيعي احس بتعب بجسمي وخمول وتفكيري مشتت غريب احس كانه شخص قاعد يسحب طاقه مني مو عارفه مين,Diminished ability to think or concentrate
مين اكثر شخص حاسس انه مشتت وغير مستقر  اكيد طبعا مو انا,Diminished ability to think or concentrate
نبضات قلبي مشتته مشاعري ممزقه اعد ثابت,Diminished ability to think or concentrate
روحي مشتته ترغب دائما بالهروب الي المجهول,Diminished ability to think or concentrate
نفسي ابطل ابقي مشتته بجددددد ,Diminished ability to think or concentrate
نفسي ابطل احس اني مشتته وتايهه,Diminished ability to think or concentrate
هالفتره مشتته مو قادره اركز شيء ابد وانسي والارق مستقعد يع اكره هالحاله,Diminished ability to think or concentrate
هاليومين صايره مره مشتته,Diminished ability to think or concentrate
و انا هافضل مشتت كدا لحد متى,Diminished ability to think or concentrate
و مشتته,Diminished ability to think or concentrate
واعطي حولي الامان والاستقرار وانا خايف مشتت رب,Diminished ability to think or concentrate
والله العظيم انتو عارفين انا مشتت عقليا وذهنيا و بصريا وسمعيا,Diminished ability to think or concentrate
والله ان عقلي مشتت يارب نورلي بصيرتي,Diminished ability to think or concentrate
والله اني ضايع و مشتت و حارت افكاري,Diminished ability to think or concentrate
والله تعبت خلاص مخي مشتت,Diminished ability to think or concentrate
والله صايره مشتته جدا ماقدر اجمع واركز بشيء حتي اذا قريت روايه شفت مسلسل مقدر اجمع الشخصيات ذهني مو صافي بتاتا,Diminished ability to think or concentrate
والله عندي كميه ضغوطات وتفكير مشتت ,Diminished ability to think or concentrate
والله مشتته نفسي بنفسي,Diminished ability to think or concentrate
والله مو قادره اركز ب اي شي واشوف وش صار اليوم احاول استوعب الوضع,Diminished ability to think or concentrate
وانا مشتت اتغدا ونام,Diminished ability to think or concentrate
واني بفتره انا افعله بعادتي اني مشتت اقاوم الشي واني بهذا الامر راضيه امات كان بداخلي يشجعني كان يشجعني علي النهوض والصبر فالان بحاجته بشده اعد احس,Diminished ability to think or concentrate
واني مشتته ماضي اشتاقه وحاضر اطيقه ومستقبل اخشاه تهت الازمان فلا اعرف اين يجب ان اكون اعرف اعيش اليوم واتناسى الامس واتغاضي الغد,Diminished ability to think or concentrate
واو ياعقلي مشتت استغفرالله,Diminished ability to think or concentrate
وربي انا مشتته,Diminished ability to think or concentrate
وربي تشتت مو قادره اركز بسببه,Diminished ability to think or concentrate
العالم كله مشتت الناس باهتين الغرباء ساذجين الاصحاب يوما معك ويوما الله عليم الحياه مخيفه لدرجه تجعلك تنغمس بذاتك وتنسي ان العالم موجود,Diminished ability to think or concentrate
وصلني خبر يجيب الهم واحس عقلي مشتت وقتها,Diminished ability to think or concentrate
اسفه انا محبطه و فكري مشتت و حاسه اني بلف بدوامه مش راضيه تخلص مش قادره انبسط,Diminished ability to think or concentrate
وقتي يضيع فالتخطيط وبدون اي تنفيذ لاني مب عارفه احط خطه وامشي عليها كله مشتته واتشتت بسرعه وحدي اسوي لاسبوع,Diminished ability to think or concentrate
ولقد ارهقني عناء السعي وشقاء الوصول مغيب البصيره و منطفي الالهام خائف تكرار الاخطاء نفسها وعدم الوصول مشتت الذهن وضائع ,Diminished ability to think or concentrate
انا مش تمام ومش بخير ومش كويسه ومش متطمنه ومش مبسوطه ومش مرتاحه قلقانه خايفه متوتره مكسوره مشتته مضغوطه,Diminished ability to think or concentrate
وهناك انا مشتت انا فقط تفكر,Diminished ability to think or concentrate
ياربي الحيره مشتته مرررره يارب ااخترلي,Diminished ability to think or concentrate
قلبي محطم وفكري مشتت,Diminished ability to think or concentrate
يالله صداع مو قادر اركز بسببه,Diminished ability to think or concentrate
محتاجه اهرب حالا انا للدرجه دي مشتته,Diminished ability to think or concentrate
يارب دلني للطريق الصح يارب تعبت وانا مشتته,Diminished ability to think or concentrate
يعني الان مو قادر اعبر الي جواتي او بقلبي لان تركيزي مشتت ومو عارف وش اسوي,Diminished ability to think or concentrate
قسم عقلي مشتت وافكاري ملخبطه مقدر اكمل شيء,Diminished ability to think or concentrate
يموت الشغف تلقاءيا المرء عندما تتوالي الخيبات الاصدقاء ويصبح الحزن رفيق دربه الابدي عندما يعجز ذرف الدموع او الثرثره كعادته,Diminished ability to think or concentrate
أجلس بمفردي شارد الذهن مشتت التفكير افقد الشغف,Diminished ability to think or concentrate
حاسه صراع و مشتته  حاسه اني دوامه او حفره مظلمة و مش عارفه اخرج,Diminished ability to think or concentrate
يوم امس يوم للنسيان يوم مشتت,Diminished ability to think or concentrate
اليوم خلص متى وعقلي مشتت ومش مركزه ومش بستوعب كويس,Diminished ability to think or concentrate
وين تختفي طاقتي وذهني ليه مشتت,Diminished ability to think or concentrate
تعب الروح وارق الشعور وشحوب الايام وكسرها,Diminished ability to think or concentrate
           ,feelings of worthlessness
خاب ظني,Feelings of worthlessness
خاب ظني ومعد اثق بحد,Feelings of worthlessness
انا خذلت نفسي عندما رهنت علي انهم اوفياء,Feelings of worthlessness
لاني خذلت نفسي لاني احسن الاختيار فيمن يستحق ان اشاطره هواجس النفس,Feelings of worthlessness
خاب ظني بالكثير وعيوني ملها الدمع,Feelings of worthlessness
تدري وشلون يخذلني احد انا خذلت نفسي عندما راهنت علي انهم اوفياء,Feelings of worthlessness
خذلت نفسي,Feelings of worthlessness
نفس الشعور واحس بالذنب طول الوقت لاني خذلت نفسي وحاسه بالضياع,Feelings of worthlessness
للاسف خذلت نفسي حتي اشعر بالخذلان الشديد,Feelings of worthlessness
تصدق انا اشتغل علي نفسي لين احط راسي عالمخده وانا مو راضي نفسي,Feelings of worthlessness
لقد خذلت نفسي,Feelings of worthlessness
خذلت نفسي الصراحه توقعتها مني,Feelings of worthlessness
ااايه والله خاب ظني خاب,Feelings of worthlessness
انا خاب ظني فوق السته مرات,Feelings of worthlessness
خاب ظني للاسف,Feelings of worthlessness
خاب ظني وطاب الخاطر,Feelings of worthlessness
لانه خاب ظني بشخص,Feelings of worthlessness
احس ماني راضيه عن نفسي,Feelings of worthlessness
بصراحه انا كنت متفاءل خاب ظني وانكسر,Feelings of worthlessness
لا بأس فأنا خذلت نفسي باختياري,Feelings of worthlessness
لقد خاب ظني لكنني متفاءل,Feelings of worthlessness
خاب ظني وانكسر غلطي وثقت مرا وانعدمت بالكل ثقتي,Feelings of worthlessness
حتي خاب ظني كثيره عليها,Feelings of worthlessness
خاب ظني اهديته ثقتي فاجبرتني علي هجرانه,Feelings of worthlessness
ابشركم خاب ظني,Feelings of worthlessness
ابي ابكي كنت متامله كثير وخاب ظني,Feelings of worthlessness
ابي اصير قريبه ربي مرة  جد مو راضيه نفسي رغم مو اني سيئه ودي اصير احسن فضفضه نفسي,Feelings of worthlessness
احتاج مواساه لنفسي علي مره خاب ظني في الناس ,Feelings of worthlessness
احس اني خذلت نفسي عندما راهنت على شيء,Feelings of worthlessness
احس اني خذلت نفسي مدري ليه,Feelings of worthlessness
احسنت الظن حتي خاب ظني,Feelings of worthlessness
احسني مو راضيه نفسي الفتره دي من ناحيه قربي,Feelings of worthlessness
اسف خذلت نفسي وخذلتك معي ,Feelings of worthlessness
اسفه لنفسي لقد خاب ظني حيل وش استفدت الوجع الحزن,Feelings of worthlessness
اشعر انه كان عندي امل لطيف خاب ظني و صرت مابي افكر هالشيء لاحقا,Feelings of worthlessness
اعتذار واجب يخذلني احد انا خذلت نفسي,Feelings of worthlessness
اعتذر لنفسي مره تلهفت ل شيء و خاب ظني ب كسره نفس عظيمه ,Feelings of worthlessness
اعتقدت انه سبب كافي للاسف خاب ظني,Feelings of worthlessness
ما عاد احب شيء اختصرت الحب شيء واحد خاب ظني,Feelings of worthlessness
اعرف ليه دعيت ربي كثير و قلبي استجاب خاب ظني لدرجه عاد ابي ادعي,Feelings of worthlessness
اكره جدا لمن اكون محتاجه شخص احس اني خذلت نفسي,Feelings of worthlessness
